Plot,Observed,Predicted
752,0,0.109772645
753,0,0.4495896
754,0,0.35207185
755,0.357142857,0.50844663
756,0.411764706,0.34422073
757,0.266666667,0.34792677
758,0.692307692,0.7428381
759,0.24,0.41957405
760,0.583333333,0.52216095
761,0.090909091,0.06448671
762,0.85,0.5968544
763,0.4,0.2055057
764,0.052631579,0.08215414
765,0,0.28754565
766,0.05,0.291671
767,0.409090909,0.46060076
768,0.5,0.28201762
769,0.294117647,0.37077078
770,0.076923077,0.43092462
771,0.05,0.10076998
772,0.3125,0.38756323
773,0,0.15547386
774,0.25,0.35047802
775,0.19047619,0.26514792
776,0,0.0898161
777,0.210526316,0.33763337
778,0.851851852,0.6987372
779,0.666666667,0.46345997
780,0.4375,0.47932103
781,0.456521739,0.53432775
782,0,0.33122534
783,0,0.08023127
784,0.086956522,0.29099354
785,0.375,0.40553743
786,0,0.38774353
787,0.533333333,0.55144197
788,0.88,0.7718058
789,0.352941176,0.5625166
790,0.833333333,0.54304624
791,0.555555556,0.58196247
792,0.058823529,0.49275213
793,0.277777778,0.41503477
794,0.235294118,0.41301244
795,0.0625,0.10283744
796,0.235294118,0.26109728
797,0.153846154,0.3924806
798,0.952380952,0.76153886
799,0.826086957,0.6732869
800,0.848484848,0.7118377
801,0,0.117729306
802,0.416666667,0.47267905
803,0.2,0.33239567
804,1,0.59522665
805,0,0.058388505
806,0.222222222,0.36127302
807,0.384615385,0.5334299
808,0.9,0.72382337
809,0.44,0.37031436
810,0.6,0.68642837
811,0.285714286,0.6008737
812,0.681818182,0.4530142
813,0.3,0.27598011
814,0.642857143,0.6189168
815,0.25,0.44577235
816,0.583333333,0.54901177
817,0.740740741,0.51507026
818,0.466666667,0.29311985
819,1,0.762485
820,0.451612903,0.30507877
821,0.538461538,0.6315403
822,0.846153846,0.53806055
823,0.157894737,0.1214794
824,0.866666667,0.55559534
825,0.25,0.16434683
826,0.833333333,0.7911707
827,0.5625,0.73508435
828,0.217391304,0.53741163
829,0.956521739,0.5809628
830,0.588235294,0.43272966
831,0.85,0.5895961
832,0.227272727,0.36461937
833,0.105263158,0.072181895
834,0.954545455,0.55704224
835,0.157894737,0.15626062
836,0.4,0.39371908
837,0.5,0.23088622
838,0.2,0.35242116
839,0.476190476,0.42978105
840,0.333333333,0.49188524
841,0.238095238,0.2376984
842,0.533333333,0.46550122
843,0.611111111,0.5473134
844,0.066666667,0.14609987
845,0.916666667,0.73088926
846,0.25,0.30880585
847,0.333333333,0.43532017
848,0.764705882,0.5850797
849,0.916666667,0.5127915
850,0.45,0.33080852
851,0.384615385,0.3359341
852,0.888888889,0.7225569
853,0.863636364,0.677449
854,0.142857143,0.27544022
855,0.1,0.097083166
856,0.5,0.36273193
857,0.045454545,0.23985991
858,0.285714286,0.16131704
859,0.307692308,0.17866513
860,0.571428571,0.33148894
861,0.387096774,0.45047158
862,0.111111111,0.09367847
863,0.15,0.49455178
864,0.625,0.6699621
865,0.5,0.33192408
866,0,0.39035806
867,0.705882353,0.595108
868,0.2,0.075838156
869,0.466666667,0.14284405
870,0.92,0.7339728
871,0.206896552,0.35555527
872,0.523809524,0.69098574
873,0,0.008281209
874,0.52,0.20840058
875,0.6,0.56160605
876,0.447368421,0.52641207
877,0.181818182,0.34824273
878,0.285714286,0.4553969
879,0.25,0.25006935
880,0.3,0.30179423
881,0.2,0.5475172
882,0.714285714,0.53562737
883,0.722222222,0.49861777
884,0.157894737,0.23139414
885,0.636363636,0.35547194
886,0.846153846,0.84716445
887,0.333333333,0.39486223
888,0.48,0.2858276
889,0.68,0.7328771
890,0,0.23034725
891,0.533333333,0.52263755
892,0.652173913,0.51850975
893,0.666666667,0.42347953
894,0.9,0.66321266
895,0.1,0.124200776
896,0.2,0.2958127
897,0.35,0.46205497
898,0.476190476,0.47051188
899,0.523809524,0.44782105
900,0.761904762,0.555082
901,0.3,0.29907793
902,0,0.17225784
903,0.8125,0.83472025
904,0.545454545,0.61369073
905,0.444444444,0.5451547
906,0.857142857,0.5778685
907,0.55,0.3234143
908,0.071428571,0.159953
909,0.6875,0.2687956
910,0.692307692,0.385234
911,0.384615385,0.35077202
912,0.5,0.7412703
913,0.222222222,0.2390475
914,0,-0.01574897
915,0.35,0.3682482
916,0.944444444,0.8017104
917,0.181818182,0.3972363
